Title,Link,Review
Mr. Sunshine,https://mydramalist.com/23920-mr.-sunshine,Am I glad I watched this? Yes. Would I watch again? No. Dragged in the middle and was just SO LONG but has good beginning and end. Could have been much shorter tho. Good history lesson.
My Demon,https://mydramalist.com/746993-my-demon,"a bit of a rollercoaster of a drama (not in a good way lol). started off kinda boring but by episode 4-5 i was invested. the fake marriage plot was cute and there were some really funny memorable scenes like the tango scene and the two assistants out-clapping each other at the wedding. had some cute couple moments in the middle. villains/chaebol family played their roles well. but then the writing fell apart at the end. male lead sacrifices himself for the FL by bringing her back to life at the end of ep 15, only to then magically reappear 15 minutes into the final episode. also the villain fell from a skyscraper and was crushed under a chunk of ceiling and still didnt die…i also think madame ju got off too easy for basically causing dohee’s mother’s death. and ML didnt even turn into a human in the end?! despite some cute/good moments in the middle, the major plot holes at the end/the dumb ending definitely lower the rating of the drama overall. male and female leads are super pretty tho and had good chemistry."
My Lovely Liar,https://mydramalist.com/721889-useless-lies,"started off interesting and had some cute moments with the ML and FL. but the tone was weird - it went from heavy topics to cringey cuteness the next moment. it felt like the mystery and heavy topics (toxic mothers, suicide, abusive relationships etc) were not given proper serious attention. also, it was frustrating that they made the murderer be the gay friend who was in love with the ML. it made it feel like a kdrama from 2016, not one from 2023. also, the ML and FL could also be quite boring at times and had limited expressions and acting range. side plots were not that interesting (ex: the parents, the business owners). overall it was avg to below avg. but the ML is pretty."
My Man Is Cupid,https://mydramalist.com/705671-my-man-is-cupid,"started off really cute. the male lead is super adorable and Nana is so beautiful. but then the plot got so consumed by the murder plot that the show lost me. i would have much preferred a cute romance centered on him being a cupid and her finding out, and on cute couples that he tries to set up with his powers. also the fact that the second reincarnation of the female lead was a high schooler/minor was a tad off-putting. and the second male lead was annoying and ugly so i was not invested in him as a character at all. had some very good kiss scenes tho! fast forwarded through the last two eps."
My Mister,https://mydramalist.com/25172-my-ajusshi,So quietly and painfully tragic. Really hits the feels. Such a good story. A different kind of love story. Acting is amazing. Just a fantastically done show.
My Name,https://mydramalist.com/65391-nemesis,This show is BADASS. It was 100% a binge watch. Ending with the ML being killed broke my heart. FL is a badass. Not the most original story but it’s super well done.
My Roommate Is a Gumiho,https://mydramalist.com/62151-frightening-cohabitation,"Overall a very cute, easy to watch drama. The first 6-7 episodes are especially adorable and swoon worthy. Also very funny and a good cast. Did slow down near the middle/end and in general the plot/writing was pretty cheesy, but it’s a fun drama that’s funny and light on melodrama. Good kiss scenes too. The age gap between the FL and ML is a bit much tho."
My Sweet Mobster,https://mydramalist.com/742271-the-woman-who-plays,cute funny comedy. the male lead was surprisingly charming and had a nice husky voice. got kind of boring near the end. romance was a little too cutesy and boring compared to what i expect from kdramas nowadays — it felt more reminicsent of a 2016 drama. but some of the side characters had charm. the second male lead was super annoying though. kiss scenes were very lame too as they were basicallg just fish kisses.
Mystic Pop-Up Bar,https://mydramalist.com/34539-ssang-gap-pocha,"After CLOY this is the next drama that made me fall in love with kdramas. It’s SO FUN with great acting, humor, plot, abs romance. Such a cute lil quirky show."
"No Gain, No Love",https://mydramalist.com/754711-because-i-want-no-loss,"very fun, cute drama. deals with a lot of progressive issues and is very sex positive. both the main and second couples are cute and have good chemistry, though more focus is given to the second couple near the end. a few plot lines are rushed near the end and i actually think this could have benefitted from 16 episodes instead of 12. the scene where the second male lead apprehends the murderer with sex toys will definitely go down in kdrama history."
